shape: (101, 4)
┌───────┬───────────────┬─────────────────┬──────────────────┐
│ epoch ┆ training_loss ┆ validation_loss ┆ time_since_start │
│ ---   ┆ ---           ┆ ---             ┆ ---              │
│ i64   ┆ f64           ┆ f64             ┆ f64              │
╞═══════╪═══════════════╪═════════════════╪══════════════════╡
│ 8000  ┆ 0.00108       ┆ 0.00004         ┆ 312.410072       │
│ 8100  ┆ 0.001041      ┆ 0.000045        ┆ 316.280248       │
│ 8200  ┆ 0.00464       ┆ 0.000293        ┆ 320.195501       │
│ 8300  ┆ 0.001061      ┆ 0.000041        ┆ 324.094477       │
│ 8400  ┆ 0.001344      ┆ 0.000072        ┆ 328.005528       │
│ 8500  ┆ 0.001055      ┆ 0.000041        ┆ 331.856586       │
│ 8600  ┆ 0.001159      ┆ 0.000051        ┆ 335.719552       │
│ 8700  ┆ 0.001043      ┆ 0.000039        ┆ 339.58362        │
│ 8800  ┆ 0.001206      ┆ 0.000103        ┆ 343.491204       │
│ 8900  ┆ 0.001046      ┆ 0.000043        ┆ 347.498102       │
│ 9000  ┆ 0.001053      ┆ 0.000039        ┆ 351.353485       │
│ 9100  ┆ 0.001307      ┆ 0.00006         ┆ 355.308138       │
│ 9200  ┆ 0.001043      ┆ 0.00004         ┆ 359.198964       │
│ 9300  ┆ 0.001028      ┆ 0.000041        ┆ 363.143002       │
│ 9400  ┆ 0.00104       ┆ 0.000037        ┆ 367.053153       │
│ 9500  ┆ 0.001606      ┆ 0.000085        ┆ 371.018214       │
│ 9600  ┆ 0.001057      ┆ 0.000047        ┆ 374.891707       │
│ 9700  ┆ 0.001063      ┆ 0.000042        ┆ 378.762259       │
│ 9800  ┆ 0.001061      ┆ 0.000044        ┆ 382.562893       │
│ 9900  ┆ 0.001016      ┆ 0.000037        ┆ 386.541526       │
│ 10000 ┆ 0.001018      ┆ 0.000038        ┆ 390.484969       │
└───────┴───────────────┴─────────────────┴──────────────────┘
